,0,1,2,code
504,NTPM HOLDINGS BERHAD,http://www.ntpm.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5066,5066
505,NWP HOLDINGS BERHAD,http://www.nwp.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5025,5025
506,NYLEX (MALAYSIA) BERHAD,http://www.nylex.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4944,4944
507,OCB BERHAD,http://www.ocbb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5533,5533
508,OCEANCASH PACIFIC BERHAD,http://www.oceancash.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0049,0049
509,OCK GROUP BERHAD,http://www.ock.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0172,0172
510,OCR GROUP BERHAD,http://www.ocrbhd.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7071,7071
511,OKA CORPORATION BHD,http://www.oka.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7140,7140
512,OLYMPIA INDUSTRIES BERHAD,http://www.oib.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3018,3018
513,OMESTI BERHAD,http://www.omesti.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9008,9008
514,ONLY WORLD GROUP HOLDINGS BERHAD,http://www.owg.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5260,5260
515,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,http://www.ofih.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7107,7107
516,ORIENTAL HOLDINGS BERHAD,http://www.ohb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4006,4006
517,ORIENTAL INTEREST BERHAD,http://www.oibgroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5827,5827
518,ORNAPAPER BERHAD,http://www.ornapaper.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5065,5065
519,OSK HOLDINGS BERHAD,http://www.oskgroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5053,5053
520,P.A. RESOURCES BERHAD,http://www.pagroup.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7225,7225
521,P.I.E. INDUSTRIAL BERHAD,http://www.pieib.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7095,7095
522,PACIFIC & ORIENT BERHAD,http://www.pacific-orient.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6009,6009
523,PADINI HOLDINGS BERHAD,http://corporate.padini.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7052,7052
524,PAN MALAYSIA CORPORATION BERHAD,http://www.pmcorporation.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4081,4081
525,PAN MALAYSIA HOLDINGS BERHAD,http://www.pmholdings.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1287,1287
526,PANASONIC MANUFACTURING MALAYSIA BERHAD,http://pmma.panasonic.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3719,3719
527,PANSAR BERHAD,http://www.pansar.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8419,8419
528,PANTECH GROUP HOLDINGS BERHAD,http://www.pantech-group.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5125,5125
529,PAOS HOLDINGS BERHAD,http://www.paos.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5022,5022
530,PARAGON GLOBE BERHAD,http://www.gbhgroup.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3611,3611
531,PARAGON UNION BERHAD,http://www.paragon.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9407,9407
532,PARAMOUNT CORPORATION BERHAD,https://www.pcb.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1724,1724
533,PARKSON HOLDINGS BERHAD,http://www.lion.com.my/parkson,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5657,5657
534,PASDEC HOLDINGS BERHAD,http://www.pasdec.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6912,6912
535,PAVILION REAL ESTATE INV TRUST,http://www.pavilion-reit.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5212,5212
536,PBA HOLDINGS BHD,http://www.pbahb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5041,5041
537,PCCS GROUP BERHAD,http://www.pccsgroup.net/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6068,6068
538,PDZ HOLDINGS BHD,http://www.pdzlines.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6254,6254
539,PECCA GROUP BERHAD,https://www.peccaleather.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5271,5271
540,PEGASUS HEIGHTS BERHAD,http://www.pegasusheights.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4464,4464
541,PELANGI PUBLISHING GROUP BHD.,http://www.pelangipublishing.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7190,7190
542,PELIKAN INTERNATIONAL CORPORATION BERHAD,http://www.pelikan.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5231,5231
543,PENSONIC HOLDINGS BERHAD,http://www.pensonic.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9997,9997
544,PENTAMASTER CORPORATION BERHAD,http://www.pentamaster.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7160,7160
545,PERAK CORPORATION BERHAD,http://www.perakcorp.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8346,8346
546,PERAK TRANSIT BERHAD,http://www.peraktransit.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0186,0186
547,PERDANA PETROLEUM BERHAD,http://www.petraperdana.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7108,7108
548,PERMAJU INDUSTRIES BERHAD,http://www.permaju.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7080,7080
549,PERTAMA DIGITAL BERHAD,http://www.pertamadigital.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8532,8532
550,PESONA METRO HOLDINGS BERHAD,http://www.pesona.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8311,8311
551,PESTECH INTERNATIONAL BERHAD,http://pestech-international.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5219,5219
552,PETRA ENERGY BERHAD,http://www.petraenergy.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5133,5133
